title,park,date,phone,rating,cc,location.latitude,location.longitude,location.human_address2,datayear,day,park_address,address,city,state,zip,community,geocode_address,lat,long,osm_type,display_name,class,type
A League of Their Own,Edgebrook Park,2014-06-08T02:45:00Z,(773) 631-7461,PG,N/A,41.99946594,-87.76202393,"{""address"": ""6525 N. Hiawatha Ave. Chicago IL 60646"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60646""}",2014,Sun,NA,6525 N. Hiawatha Ave. Chicago IL 60646,Chicago,IL,60646,FOREST GLEN,6525 N. Hiawatha Ave. Chicago IL 60646,41.99961225,-87.76083677250128,way,"6525, North Hiawatha Avenue, Edgebrook, Forest Glen, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",building,school
Lego Movie,Olympia Park,2014-06-21T03:00:00Z,(773) 631-6861,PG,N/A,41.99970245,-87.81498718,"{""address"": ""6566 N. Avondale Ave. Chicago IL 60631"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60631""}",2014,Sat,NA,6566 N. Avondale Ave. Chicago IL 60631,Chicago,IL,60631,EDISON PARK,6566 N. Avondale Ave. Chicago IL 60631,41.9993527,-87.81515393130672,way,"Olympia Park Fieldhouse, 6566, North Avondale Avenue, Edison Park, Chicago, Jefferson Township, Cook County, Illinois, 60631, United States",leisure,sports_centre
Lego Movie,Portage Park,2014-08-21T03:00:00Z,(773) 685-7235,PG,N/A,41.95508957,-87.76216125,"{""address"": ""4100 N Long Ave Chicago, IL 60641"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60641""}",2014,Thu,NA,"4100 N Long Ave Chicago, IL 60641",Chicago,IL,60641,PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",41.955319700000004,-87.76369722581602,way,"Portage Park Fieldhouse, 4100, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",leisure,sports_centre
Frozen,Portage Park,2014-07-10T03:00:00Z,(773) 685-7235,PG,N/A,41.95508957,-87.76216125,"{""address"": ""4100 N Long Ave Chicago, IL 60641"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60641""}",2014,Thu,NA,"4100 N Long Ave Chicago, IL 60641",Chicago,IL,60641,PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",41.955319700000004,-87.76369722581602,way,"Portage Park Fieldhouse, 4100, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",leisure,sports_centre
Monster University,Portage Park,2014-06-26T03:00:00Z,(773) 685-7235,G,N/A,41.95508957,-87.76216125,"{""address"": ""4100 N Long Ave Chicago, IL 60641"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60641""}",2014,Thu,NA,"4100 N Long Ave Chicago, IL 60641",Chicago,IL,60641,PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",41.955319700000004,-87.76369722581602,way,"Portage Park Fieldhouse, 4100, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",leisure,sports_centre
The Nut Job,Roberts Square Playlot Park,2014-08-16T03:00:00Z,(773) 685-3316,PG,N/A,41.97188187,-87.75899506,"{""address"": ""5200 W. Argyle St. Chicago IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Sat,NA,5200 W. Argyle St. Chicago IL 60630,Chicago,IL,60630,JEFFERSON PARK,5200 W. Argyle St. Chicago IL 60630,41.971652,-87.75781,way,"5200, West Argyle Street, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",place,house
Free Birds,Wildwood Park,2014-07-11T03:00:00Z,(773) 631-7455,PG,Yes,42.00686264,-87.7776947,"{""address"": ""6950 N. Hiawatha Ave. Chicago IL 60646"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60646""}",2014,Fri,NA,6950 N. Hiawatha Ave. Chicago IL 60646,Chicago,IL,60646,FOREST GLEN,6950 N. Hiawatha Ave. Chicago IL 60646,42.007225649999995,-87.77857308199492,way,"6950, North Hiawatha Avenue, Wildwood, Forest Glen, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",building,school
Hairspray,Bell Park,2014-08-22T03:15:00Z,(312) 746-5008,PG,N/A,41.93524551,-87.79602051,"{""address"": ""3020 N Oak Park Ave Chicago, IL 60634"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60634""}",2014,Fri,NA,"3020 N Oak Park Ave Chicago, IL 60634",Chicago,IL,60634,MONTCLARE,"3020 N Oak Park Ave Chicago, IL 60634",41.93496945110849,-87.79570468274466,way,"3020, North Oak Park Avenue, Beat 2511, Montclare, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",place,house
The Wizard of Oz,Chase Park,2014-06-26T03:30:00Z,(312) 742-7518,G,N/A,41.96714783,-87.66930389,"{""address"": ""4701 N. Ashland Ave. Chicago IL 60640"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60640""}",2014,Thu,NA,4701 N. Ashland Ave. Chicago IL 60640,Chicago,IL,60640,UPTOWN,4701 N. Ashland Ave. Chicago IL 60640,41.967178,-87.66929,way,"4701, North Ashland Avenue, Ravenswood Place, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",place,house
The Muppet Movie,Gompers Park,2014-07-17T03:30:00Z,(773) 685-3270,G,N/A,41.97549438,-87.73486328,"{""address"": ""4222 W. Foster Ave. Chicago IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Thu,NA,4222 W. Foster Ave. Chicago IL 60630,Chicago,IL,60630,NORTH PARK,4222 W. Foster Ave. Chicago IL 60630,41.975847099999996,-87.7344154037823,way,"Gompers Park Fieldhouse, 4222-4224, West Foster Avenue, North Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",leisure,sports_centre
Annie,Pottawattomie Park,2014-07-24T03:30:00Z,(773) 262-5835,NR,N/A,42.01446533,-87.6785965,"{""address"": ""7340 N. Rogers Ave. Chicago IL 60626"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60626""}",2014,Thu,NA,7340 N. Rogers Ave. Chicago IL 60626,Chicago,IL,60626,ROGERS PARK,7340 N. Rogers Ave. Chicago IL 60626,42.01516175,-87.67812214549019,way,"Pottawattomie Park Fieldhouse, 7340, North Rogers Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",leisure,sports_centre
The Muppet Movie,Touhy Park,2014-07-31T03:00:00Z,(773) 262-6737,G,N/A,42.0148735,-87.67243958,"{""address"": ""7348 N. Paulina St. Chicago IL 60626"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60626""}",2014,Thu,NA,7348 N. Paulina St. Chicago IL 60626,Chicago,IL,60626,ROGERS PARK,7348 N. Paulina St. Chicago IL 60626,42.015265600000006,-87.67297849570652,way,"Touhy Park Fieldhouse, 7348, North Paulina Street, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",building,public
Willy Wonka and the Chocolate Factory,Trebes Park,2014-08-28T03:00:00Z,(312) 742-7769,G,N/A,41.92298889,-87.65727234,"{""address"": ""2250 N. Clifton Ave. Chicago IL 60614"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60614""}",2014,Thu,NA,2250 N. Clifton Ave. Chicago IL 60614,Chicago,IL,60614,LINCOLN PARK,2250 N. Clifton Ave. Chicago IL 60614,41.922918100000004,-87.65746466344092,way,"2238-2250, North Clifton Avenue, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",building,school
Brave,Athletic Field Park,2014-08-30T03:30:00Z,(773) 478-2889,PG,N/A,41.94668198,-87.71703339,"{""address"": ""3546 W Addison St Chicago, IL 60618"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60618""}",2014,Sat,NA,"3546 W Addison St Chicago, IL 60618",Chicago,IL,60618,IRVING PARK,"3546 W Addison St Chicago, IL 60618",41.9467196,-87.71700694694292,way,"Ceramics Building, 3546, West Addison Street, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",craft,pottery
The Perfect Game,Athletic Field Park,2014-07-26T03:30:00Z,(773) 478-2889,PG,N/A,41.94668198,-87.71703339,"{""address"": ""3546 W Addison St Chicago, IL 60618"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60618""}",2014,Sat,NA,"3546 W Addison St Chicago, IL 60618",Chicago,IL,60618,IRVING PARK,"3546 W Addison St Chicago, IL 60618",41.9467196,-87.71700694694292,way,"Ceramics Building, 3546, West Addison Street, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",craft,pottery
Newsies,Athletic Field Park,2014-06-28T03:30:00Z,(773) 478-2889,PG,N/A,41.94668198,-87.71703339,"{""address"": ""3546 W Addison St Chicago, IL 60618"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60618""}",2014,Sat,NA,"3546 W Addison St Chicago, IL 60618",Chicago,IL,60618,IRVING PARK,"3546 W Addison St Chicago, IL 60618",41.9467196,-87.71700694694292,way,"Ceramics Building, 3546, West Addison Street, Avondale, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",craft,pottery
Saving Mr. Banks,Calumet Park,2014-07-08T03:00:00Z,(312) 747-6039,PG-13,N/A,41.71755765,-87.53148079,"{""address"": ""9801 S Avenue G Chicago, IL 60617"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60617""}",2014,Tue,NA,"9801 S Avenue G Chicago, IL 60617",Chicago,IL,60617,EAST SIDE,"9801 S Avenue G Chicago, IL 60617",41.71758375,-87.5301963176882,way,"Calumet Park Field House, 9801, South Avenue G, East Side, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",leisure,sports_centre
Ironman 3,Chopin Park,2014-09-14T02:45:00Z,(773) 685-3247,PG-13,N/A,41.94267654,-87.76173401,"{""address"": ""3420 N. Long Ave. Chicago IL 60641"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60641""}",2014,Sun,NA,3420 N. Long Ave. Chicago IL 60641,Chicago,IL,60641,PORTAGE PARK,3420 N. Long Ave. Chicago IL 60641,41.94319145,-87.76240576101922,way,"Chopin Park Fieldhouse, 3420, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",leisure,sports_centre
Gremlins,Chopin Park,2014-06-15T03:00:00Z,(773) 685-3247,PG,N/A,41.94267654,-87.76173401,"{""address"": ""3420 N. Long Ave. Chicago IL 60641"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60641""}",2014,Sun,NA,3420 N. Long Ave. Chicago IL 60641,Chicago,IL,60641,PORTAGE PARK,3420 N. Long Ave. Chicago IL 60641,41.94319145,-87.76240576101922,way,"Chopin Park Fieldhouse, 3420, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",leisure,sports_centre
"It's a Mad, Mad, Mad, Mad World",Gage Park,2014-06-10T03:00:00Z,(312) 747-6147 ,G,No,41.79384995,-87.68441772,"{""address"": ""2411 W. 55th St. Chicago IL 60629"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60629""}",2014,Tue,NA,2411 W. 55th St. Chicago IL 60629,Chicago,IL,60629,GAGE PARK,2411 W. 55th St. Chicago IL 60629,41.7937262244408,-87.68746865575591,way,"2411, West 55th Street, Marquette Manor, Gage Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",place,house
Wizard of Oz,Gladstone Park,2014-07-31T03:00:00Z,(773) 631-7859 ,G,N/A,41.97917175,-87.77305603,"{""address"": ""5421 N. Menard Ave. Chicago IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Thu,NA,5421 N. Menard Ave. Chicago IL 60630,Chicago,IL,60630,JEFFERSON PARK,5421 N. Menard Ave. Chicago IL 60630,41.9649784,-87.7722883,way,"North Menard Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",highway,residential
Gravity,Hamilton Park,2014-06-20T03:00:00Z,(312) 747-6174,PG-13,No,41.76344299,-87.63769531,"{""address"": ""513 W. 72nd St. Chicago IL 60621"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60621""}",2014,Fri,NA,513 W. 72nd St. Chicago IL 60621,Chicago,IL,60621,ENGLEWOOD,513 W. 72nd St. Chicago IL 60621,41.762860200000006,-87.63766537217651,way,"Hamilton Park Fieldhouse, 513, West 72nd Street, Greater Grand Crossing, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",leisure,sports_centre
Lego Movie,Independence Park,2014-08-09T03:00:00Z,(773) 478-3538,PG,N/A,41.95268631,-87.72504425,"{""address"": ""3945 N. Springfield Ave. Chicago IL 60618"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60618""}",2014,Sat,NA,3945 N. Springfield Ave. Chicago IL 60618,Chicago,IL,60618,IRVING PARK,3945 N. Springfield Ave. Chicago IL 60618,41.95295885,-87.7247681,way,"Independence Park Fieldhouse, 3945, North Springfield Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",leisure,sports_centre
Avengers,Independence Park,2014-07-12T03:30:00Z,(773) 478-3538,PG-13,N/A,41.95268631,-87.72504425,"{""address"": ""3945 N. Springfield Ave. Chicago IL 60618"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60618""}",2014,Sat,NA,3945 N. Springfield Ave. Chicago IL 60618,Chicago,IL,60618,IRVING PARK,3945 N. Springfield Ave. Chicago IL 60618,41.95295885,-87.7247681,way,"Independence Park Fieldhouse, 3945, North Springfield Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",leisure,sports_centre
Frozen,Independence Park,2014-06-14T03:30:00Z,(773) 478-3538,PG,N/A,41.95268631,-87.72504425,"{""address"": ""3945 N. Springfield Ave. Chicago IL 60618"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60618""}",2014,Sat,NA,3945 N. Springfield Ave. Chicago IL 60618,Chicago,IL,60618,IRVING PARK,3945 N. Springfield Ave. Chicago IL 60618,41.95295885,-87.7247681,way,"Independence Park Fieldhouse, 3945, North Springfield Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",leisure,sports_centre
The Blues Brothers,Jefferson Memorial Park,2014-08-09T03:00:00Z,(773) 685-3316,R,N/A,41.96814728,-87.76294708,"{""address"": ""4822 N. Long Ave. Chicago IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Sat,NA,4822 N. Long Ave. Chicago IL 60630,Chicago,IL,60630,JEFFERSON PARK,4822 N. Long Ave. Chicago IL 60630,41.9686701,-87.76286005007364,way,"Jefferson Park Fieldhouse, 4822, North Long Avenue, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",leisure,sports_centre
Frozen,Jefferson Memorial Park,2014-07-12T03:00:00Z,(773) 685-3316,PG,N/A,41.96814728,-87.76294708,"{""address"": ""4822 N. Long Ave. Chicago IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Sat,NA,4822 N. Long Ave. Chicago IL 60630,Chicago,IL,60630,JEFFERSON PARK,4822 N. Long Ave. Chicago IL 60630,41.9686701,-87.76286005007364,way,"Jefferson Park Fieldhouse, 4822, North Long Avenue, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",leisure,sports_centre
Monster University,Jefferson Memorial Park,2014-06-13T03:00:00Z,(773) 685-3316,PG,N/A,41.96814728,-87.76294708,"{""address"": ""4822 N. Long Ave. Chicago IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Fri,NA,4822 N. Long Ave. Chicago IL 60630,Chicago,IL,60630,JEFFERSON PARK,4822 N. Long Ave. Chicago IL 60630,41.9686701,-87.76286005007364,way,"Jefferson Park Fieldhouse, 4822, North Long Avenue, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",leisure,sports_centre
The Lego Movie,Mayfair Park,2014-08-24T03:00:00Z,(773) 685-3361,PG,N/A,41.96262741,-87.74201202,"{""address"": ""4550 W. Sunnyside Ave. Chicago IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Sun,NA,4550 W. Sunnyside Ave. Chicago IL 60630,Chicago,IL,60630,IRVING PARK,4550 W. Sunnyside Ave. Chicago IL 60630,41.9626943509231,-87.74198478918703,way,"4550, West Sunnyside Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",place,house
The Nut Job,Mayfair Park,2014-07-12T03:00:00Z,(773) 685-3361,PG,N/A,41.96262741,-87.74201202,"{""address"": ""4550 W. Sunnyside Ave. Chicago IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Sat,NA,4550 W. Sunnyside Ave. Chicago IL 60630,Chicago,IL,60630,IRVING PARK,4550 W. Sunnyside Ave. Chicago IL 60630,41.9626943509231,-87.74198478918703,way,"4550, West Sunnyside Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",place,house
Despicable Me 2,Merrimac Park,2014-08-07T03:00:00Z,(773) 685-3382,PG,N/A,41.95264435,-87.78518677,"{""address"": ""6343 W. Irving Park Rd. Chicago IL 60634"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60634""}",2014,Thu,NA,6343 W. Irving Park Rd. Chicago IL 60634,Chicago,IL,60634,DUNNING,6343 W. Irving Park Rd. Chicago IL 60634,41.9523046,-87.78492398252675,way,"Merrimac Park Fieldhouse, 6343, West Irving Park Road, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",leisure,sports_centre
Free Birds,Norwood Park,2014-08-16T03:00:00Z,(773) 631-4893,PG,N/A,41.98659134,-87.79413605,"{""address"": ""5801 N. Natoma Ave. Chicago IL 60631"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60631""}",2014,Sat,NA,5801 N. Natoma Ave. Chicago IL 60631,Chicago,IL,60631,NORWOOD PARK,5801 N. Natoma Ave. Chicago IL 60631,41.986551399999996,-87.79346372609689,way,"Norwood Park Fieldhouse, 5801, North Natoma Avenue, Norwood Park, Chicago, Jefferson Township, Cook County, Illinois, 60631, United States",leisure,sports_centre
Gravity,O'Hallaren Park,2014-07-11T03:00:00Z,(312) 747-6573,PG-13,No,41.74268341,-87.66927338,"{""address"": ""8335 S. Honore St. Chicago IL 60620"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60620""}",2014,Fri,NA,8335 S. Honore St. Chicago IL 60620,Chicago,IL,60620,AUBURN GRESHAM,8335 S. Honore St. Chicago IL 60620,41.7574529,-87.6697078,way,"South Honore Street, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, 60620, United States",highway,residential
Despicable Me 2,Oriole Park,2014-06-29T03:00:00Z,(773) 631-6197,PG,N/A,41.97828293,-87.81445313,"{""address"": ""5430 N. Olcott Ave. Chicago IL 60656"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60656""}",2014,Sun,NA,5430 N. Olcott Ave. Chicago IL 60656,Chicago,IL,60656,NORWOOD PARK,5430 N. Olcott Ave. Chicago IL 60656,41.97857205,-87.81481307485997,way,"Oriole Park Fieldhouse, 5430, North Olcott Avenue, Norwood Park, Chicago, Jefferson Township, Cook County, Illinois, 60656, United States",building,public
Superman,Owens Park,2014-07-31T03:00:00Z,(312) 747-6709,PG,No,41.73525238,-87.57568359,"{""address"": ""8800 S. Clyde Ave. Chicago, IL 60617"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60617""}",2014,Thu,NA,"8800 S. Clyde Ave. Chicago, IL 60617",Chicago,IL,60617,CALUMET HEIGHTS,"8800 S. Clyde Ave. Chicago, IL 60617",41.735124400000004,-87.573791848524,way,"Owens Park Fieldhouse, 8800, South Clyde Avenue, Pill Hill, Calumet Heights, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",leisure,sports_centre
The Family That Preys,Palmer Park,2014-07-18T03:00:00Z,(312) 747-6577,PG-13,No,41.69263077,-87.61819458,"{""address"": ""201 E 111th St Chicago, IL 60628"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60628""}",2014,Fri,NA,"201 E 111th St Chicago, IL 60628",Chicago,IL,60628,ROSELAND,"201 E 111th St Chicago, IL 60628",41.69186225,-87.61639939299408,way,"Palmer Park Field House, 201, East 111th Street, Arcade Row, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",building,yes
ET,Portage Park,2014-07-31T03:00:00Z,(773) 685-7235,PG,N/A,41.95508957,-87.76216125,"{""address"": ""4100 N Long Ave Chicago, IL 60641"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60641""}",2014,Thu,NA,"4100 N Long Ave Chicago, IL 60641",Chicago,IL,60641,PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",41.955319700000004,-87.76369722581602,way,"Portage Park Fieldhouse, 4100, North Long Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",leisure,sports_centre
The Nut Job,Russell Square Park,2014-07-29T03:00:00Z,(312) 747-6651,PG,No,41.74466705,-87.54989624,"{""address"": ""3045 E. 83rd St. Chicago IL 60617"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60617""}",2014,Tue,NA,3045 E. 83rd St. Chicago IL 60617,Chicago,IL,60617,SOUTH CHICAGO,3045 E. 83rd St. Chicago IL 60617,41.7443631,-87.54989819394903,way,"Russell Square Park Fieldhouse, 3045, East 83rd Street, The Bush, South Chicago, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",leisure,sports_centre
